wordPL,wordENG
"nad",above
"tez",also
"wyglad",appearance
"w tej chwili",at the moment
"bank",bank
"wierzyc",believe
"pasek",belt
"najlepszy",best
"herbatnik",biscuit
"buty",boots
"obaj",both
"gra w kregle",bowling
"kupowac",buy
"czapka",cap
"nosic",carry
"lapac",carry
"szachy",chess
"kino",cinema
"bliski",close
"plaszcz",coat
"kaczka",duck
"pies",dog
"kot",cat
"chomik",hamster
"biurko",desk
"okno",window
"komputer",computer
"biurko",desk
"okno",window
"komputer",computer
"biurko",desk
"okno",window
"komputer",computer
"biurko",desk
"okno",window
"komputer",computer
"biurko",desk
"okno",window
"komputer",computer
"biurko",desk
"okno",window
"komputer",computer
"biurko",desk
"okno",window
"komputer",computer
